month,year,product,location,demand_kg
1,2022,Carrots,Colombo,530
1,2022,Beans,Colombo,603
1,2022,Tomatoes,Colombo,218
1,2022,Turnips,Colombo,1018
1,2022,Cabbage,Colombo,384
1,2022,Potatoes,Colombo,1221
1,2022,Leeks,Colombo,399
1,2022,Beetroot,Colombo,656
1,2022,Brinjals,Colombo,1152
1,2022,Cauliflower,Colombo,543
1,2022,Carrots,Gampaha,467
1,2022,Beans,Gampaha,837
1,2022,Tomatoes,Gampaha,932
1,2022,Turnips,Gampaha,305
1,2022,Cabbage,Gampaha,867
1,2022,Potatoes,Gampaha,306
1,2022,Leeks,Gampaha,941
1,2022,Beetroot,Gampaha,1226
1,2022,Brinjals,Gampaha,424
1,2022,Cauliflower,Gampaha,1376
1,2022,Carrots,Kandy,953
1,2022,Beans,Kandy,492
1,2022,Tomatoes,Kandy,475
1,2022,Turnips,Kandy,1329
1,2022,Cabbage,Kandy,649
1,2022,Potatoes,Kandy,1102
1,2022,Leeks,Kandy,757
1,2022,Beetroot,Kandy,619
1,2022,Brinjals,Kandy,961
1,2022,Cauliflower,Kandy,388
1,2022,Carrots,Kurunegala,1243
1,2022,Beans,Kurunegala,253
1,2022,Tomatoes,Kurunegala,972
1,2022,Turnips,Kurunegala,1005
1,2022,Cabbage,Kurunegala,1402
1,2022,Potatoes,Kurunegala,998
1,2022,Leeks,Kurunegala,1091
1,2022,Beetroot,Kurunegala,1073
1,2022,Brinjals,Kurunegala,379
1,2022,Cauliflower,Kurunegala,1352
1,2022,Carrots,Galle,960
1,2022,Beans,Galle,1357
1,2022,Tomatoes,Galle,445
1,2022,Turnips,Galle,514
1,2022,Cabbage,Galle,1254
1,2022,Potatoes,Galle,1217
1,2022,Leeks,Galle,363
1,2022,Beetroot,Galle,486
1,2022,Brinjals,Galle,1007
1,2022,Cauliflower,Galle,965
1,2022,Carrots,Matara,533
1,2022,Beans,Matara,487
1,2022,Tomatoes,Matara,713
1,2022,Turnips,Matara,488
1,2022,Cabbage,Matara,437
1,2022,Potatoes,Matara,551
1,2022,Leeks,Matara,216
1,2022,Beetroot,Matara,1449
1,2022,Brinjals,Matara,561
1,2022,Cauliflower,Matara,1245
1,2022,Carrots,Anuradhapura,289
1,2022,Beans,Anuradhapura,1473
