month,year,product,location,demand_kg
1,2022,Carrots,Colombo,584
1,2022,Carrots,Gampaha,744
1,2022,Carrots,Kalutara,745
1,2022,Carrots,Kandy,687
1,2022,Carrots,Matale,539
1,2022,Carrots,Nuwara Eliya,800
1,2022,Carrots,Galle,662
1,2022,Carrots,Matara,617
1,2022,Carrots,Hambantota,443
1,2022,Carrots,Jaffna,521
1,2022,Carrots,Kilinochchi,425
1,2022,Carrots,Mannar,537
1,2022,Carrots,Vavuniya,618
1,2022,Carrots,Mullaitivu,619
1,2022,Carrots,Batticaloa,411
1,2022,Carrots,Ampara,774
1,2022,Carrots,Trincomalee,442
1,2022,Carrots,Kurunegala,568
1,2022,Carrots,Puttalam,413
1,2022,Carrots,Anuradhapura,445
1,2022,Carrots,Polonnaruwa,779
1,2022,Carrots,Badulla,679
1,2022,Carrots,Monaragala,537
1,2022,Carrots,Ratnapura,596
1,2022,Carrots,Kegalle,423
1,2022,Potatoes,Colombo,498
1,2022,Potatoes,Gampaha,649
1,2022,Potatoes,Kalutara,584
1,2022,Potatoes,Kandy,732
1,2022,Potatoes,Matale,675
1,2022,Potatoes,Nuwara Eliya,660
1,2022,Potatoes,Galle,642
1,2022,Potatoes,Matara,511
1,2022,Potatoes,Hambantota,618
1,2022,Potatoes,Jaffna,519
1,2022,Potatoes,Kilinochchi,413
1,2022,Potatoes,Mannar,401
1,2022,Potatoes,Vavuniya,729
1,2022,Potatoes,Mullaitivu,605
1,2022,Potatoes,Batticaloa,627
1,2022,Potatoes,Ampara,459
1,2022,Potatoes,Trincomalee,660
1,2022,Potatoes,Kurunegala,719
1,2022,Potatoes,Puttalam,541
1,2022,Potatoes,Anuradhapura,450
1,2022,Potatoes,Polonnaruwa,648
1,2022,Potatoes,Badulla,673
1,2022,Potatoes,Monaragala,757
1,2022,Potatoes,Ratnapura,660
1,2022,Potatoes,Kegalle,458
1,2022,Beans,Colombo,797
1,2022,Beans,Gampaha,510
1,2022,Beans,Kalutara,764
1,2022,Beans,Kandy,426
1,2022,Beans,Matale,774
1,2022,Beans,Nuwara Eliya,457
1,2022,Beans,Galle,522
1,2022,Beans,Matara,404
1,2022,Beans,Hambantota,653
1,2022,Beans,Jaffna,669
1,2022,Beans,Kilinochchi,586
1,2022,Beans,Mannar,660
1,2022,Beans,Vavuniya,542
1,2022,Beans,Mullaitivu,479
1,2022,Beans,Batticaloa,753
1,2022,Beans,Ampara,488
1,2022,Beans,Trincomalee,752
1,2022,Beans,Kurunegala,752
1,2022,Beans,Puttalam,618
1,2022,Beans,Anuradhapura,514
1,2022,Beans,Polonnaruwa,491
1,2022,Beans,Badulla,684
1,2022,Beans,Monaragala,550
1,2022,Beans,Ratnapura,472
1,2022,Beans,Kegalle,742
1,2022,Turnips,Colombo,475
1,2022,Turnips,Gampaha,797
1,2022,Turnips,Kalutara,474
1,2022,Turnips,Kandy,442
1,2022,Turnips,Matale,708
1,2022,Turnips,Nuwara Eliya,457
1,2022,Turnips,Galle,773
1,2022,Turnips,Matara,460
1,2022,Turnips,Hambantota,597
1,2022,Turnips,Jaffna,495
1,2022,Turnips,Kilinochchi,438
1,2022,Turnips,Mannar,530
1,2022,Turnips,Vavuniya,593
1,2022,Turnips,Mullaitivu,573
1,2022,Turnips,Batticaloa,734
1,2022,Turnips,Ampara,635
1,2022,Turnips,Trincomalee,603
1,2022,Turnips,Kurunegala,414
1,2022,Turnips,Puttalam,725
1,2022,Turnips,Anuradhapura,638
1,2022,Turnips,Polonnaruwa,616
1,2022,Turnips,Badulla,753
1,2022,Turnips,Monaragala,792
1,2022,Turnips,Ratnapura,484
1,2022,Turnips,Kegalle,621
1,2022,Tomatoes,Colombo,453
1,2022,Tomatoes,Gampaha,715
1,2022,Tomatoes,Kalutara,559
1,2022,Tomatoes,Kandy,565
1,2022,Tomatoes,Matale,601
1,2022,Tomatoes,Nuwara Eliya,618
1,2022,Tomatoes,Galle,608
1,2022,Tomatoes,Matara,452
1,2022,Tomatoes,Hambantota,572
1,2022,Tomatoes,Jaffna,571
1,2022,Tomatoes,Kilinochchi,788
1,2022,Tomatoes,Mannar,463
1,2022,Tomatoes,Vavuniya,616
1,2022,Tomatoes,Mullaitivu,469
1,2022,Tomatoes,Batticaloa,575
1,2022,Tomatoes,Ampara,407
1,2022,Tomatoes,Trincomalee,745
1,2022,Tomatoes,Kurunegala,436
1,2022,Tomatoes,Puttalam,714
1,2022,Tomatoes,Anuradhapura,739
1,2022,Tomatoes,Polonnaruwa,654
1,2022,Tomatoes,Badulla,775
1,2022,Tomatoes,Monaragala,776
1,2022,Tomatoes,Ratnapura,653
1,2022,Tomatoes,Kegalle,604
2,2022,Carrots,Colombo,796
2,2022,Carrots,Gampaha,526
2,2022,Carrots,Kalutara,775
2,2022,Carrots,Kandy,498
2,2022,Carrots,Matale,400
2,2022,Carrots,Nuwara Eliya,631
2,2022,Carrots,Galle,765
2,2022,Carrots,Matara,409
2,2022,Carrots,Hambantota,450
2,2022,Carrots,Jaffna,681
2,2022,Carrots,Kilinochchi,626
2,2022,Carrots,Mannar,428
2,2022,Carrots,Vavuniya,551
2,2022,Carrots,Mullaitivu,586
2,2022,Carrots,Batticaloa,794
2,2022,Carrots,Ampara,735
2,2022,Carrots,Trincomalee,438
2,2022,Carrots,Kurunegala,631
2,2022,Carrots,Puttalam,450
2,2022,Carrots,Anuradhapura,445
2,2022,Carrots,Polonnaruwa,579
2,2022,Carrots,Badulla,630
2,2022,Carrots,Monaragala,557
2,2022,Carrots,Ratnapura,781
2,2022,Carrots,Kegalle,727
2,2022,Potatoes,Colombo,448
2,2022,Potatoes,Gampaha,746
2,2022,Potatoes,Kalutara,796
2,2022,Potatoes,Kandy,537
2,2022,Potatoes,Matale,648
2,2022,Potatoes,Nuwara Eliya,656
2,2022,Potatoes,Galle,615
2,2022,Potatoes,Matara,461
2,2022,Potatoes,Hambantota,773
2,2022,Potatoes,Jaffna,546
2,2022,Potatoes,Kilinochchi,534
2,2022,Potatoes,Mannar,437
2,2022,Potatoes,Vavuniya,603
2,2022,Potatoes,Mullaitivu,740
2,2022,Potatoes,Batticaloa,650
2,2022,Potatoes,Ampara,501
2,2022,Potatoes,Trincomalee,743
2,2022,Potatoes,Kurunegala,794
2,2022,Potatoes,Puttalam,597
2,2022,Potatoes,Anuradhapura,625
2,2022,Potatoes,Polonnaruwa,766
2,2022,Potatoes,Badulla,569
2,2022,Potatoes,Monaragala,455
2,2022,Potatoes,Ratnapura,688
2,2022,Potatoes,Kegalle,400
2,2022,Beans,Colombo,626
2,2022,Beans,Gampaha,471
2,2022,Beans,Kalutara,540
2,2022,Beans,Kandy,555
2,2022,Beans,Matale,673
2,2022,Beans,Nuwara Eliya,716
2,2022,Beans,Galle,401
2,2022,Beans,Matara,579
2,2022,Beans,Hambantota,747
2,2022,Beans,Jaffna,654
2,2022,Beans,Kilinochchi,598
2,2022,Beans,Mannar,523
2,2022,Beans,Vavuniya,624
2,2022,Beans,Mullaitivu,584
2,2022,Beans,Batticaloa,720
2,2022,Beans,Ampara,621
2,2022,Beans,Trincomalee,503
2,2022,Beans,Kurunegala,700
2,2022,Beans,Puttalam,471
2,2022,Beans,Anuradhapura,687
2,2022,Beans,Polonnaruwa,590
2,2022,Beans,Badulla,624
2,2022,Beans,Monaragala,573
2,2022,Beans,Ratnapura,476
2,2022,Beans,Kegalle,402
2,2022,Turnips,Colombo,657
2,2022,Turnips,Gampaha,790
2,2022,Turnips,Kalutara,526
2,2022,Turnips,Kandy,457
2,2022,Turnips,Matale,405
2,2022,Turnips,Nuwara Eliya,675
2,2022,Turnips,Galle,564
2,2022,Turnips,Matara,481
2,2022,Turnips,Hambantota,541
2,2022,Turnips,Jaffna,415
2,2022,Turnips,Kilinochchi,785
2,2022,Turnips,Mannar,698
2,2022,Turnips,Vavuniya,401
2,2022,Turnips,Mullaitivu,734
2,2022,Turnips,Batticaloa,557
2,2022,Turnips,Ampara,789
2,2022,Turnips,Trincomalee,659
2,2022,Turnips,Kurunegala,705
2,2022,Turnips,Puttalam,612
2,2022,Turnips,Anuradhapura,775
2,2022,Turnips,Polonnaruwa,431
2,2022,Turnips,Badulla,693
2,2022,Turnips,Monaragala,740
2,2022,Turnips,Ratnapura,737
2,2022,Turnips,Kegalle,458
2,2022,Tomatoes,Colombo,733
2,2022,Tomatoes,Gampaha,545
2,2022,Tomatoes,Kalutara,536
2,2022,Tomatoes,Kandy,610
2,2022,Tomatoes,Matale,657
2,2022,Tomatoes,Nuwara Eliya,586
2,2022,Tomatoes,Galle,629
2,2022,Tomatoes,Matara,663
2,2022,Tomatoes,Hambantota,473
2,2022,Tomatoes,Jaffna,585
2,2022,Tomatoes,Kilinochchi,709
2,2022,Tomatoes,Mannar,418
2,2022,Tomatoes,Vavuniya,749
2,2022,Tomatoes,Mullaitivu,599
2,2022,Tomatoes,Batticaloa,749
2,2022,Tomatoes,Ampara,540
2,2022,Tomatoes,Trincomalee,558
2,2022,Tomatoes,Kurunegala,584
2,2022,Tomatoes,Puttalam,433
2,2022,Tomatoes,Anuradhapura,624
2,2022,Tomatoes,Polonnaruwa,453
2,2022,Tomatoes,Badulla,636
2,2022,Tomatoes,Monaragala,798
2,2022,Tomatoes,Ratnapura,784
2,2022,Tomatoes,Kegalle,610
3,2022,Carrots,Colombo,710
3,2022,Carrots,Gampaha,642
3,2022,Carrots,Kalutara,597
3,2022,Carrots,Kandy,525
3,2022,Carrots,Matale,676
3,2022,Carrots,Nuwara Eliya,618
3,2022,Carrots,Galle,658
3,2022,Carrots,Matara,692
3,2022,Carrots,Hambantota,764
3,2022,Carrots,Jaffna,777
3,2022,Carrots,Kilinochchi,542
3,2022,Carrots,Mannar,480
3,2022,Carrots,Vavuniya,643
3,2022,Carrots,Mullaitivu,728
3,2022,Carrots,Batticaloa,523
3,2022,Carrots,Ampara,573
3,2022,Carrots,Trincomalee,711
3,2022,Carrots,Kurunegala,443
3,2022,Carrots,Puttalam,666
3,2022,Carrots,Anuradhapura,797
3,2022,Carrots,Polonnaruwa,435
3,2022,Carrots,Badulla,544
3,2022,Carrots,Monaragala,718
3,2022,Carrots,Ratnapura,414
3,2022,Carrots,Kegalle,698
3,2022,Potatoes,Colombo,504
3,2022,Potatoes,Gampaha,508
3,2022,Potatoes,Kalutara,780
3,2022,Potatoes,Kandy,622
3,2022,Potatoes,Matale,431
3,2022,Potatoes,Nuwara Eliya,591
3,2022,Potatoes,Galle,517
3,2022,Potatoes,Matara,765
3,2022,Potatoes,Hambantota,663
3,2022,Potatoes,Jaffna,498
3,2022,Potatoes,Kilinochchi,533
3,2022,Potatoes,Mannar,578
3,2022,Potatoes,Vavuniya,669
3,2022,Potatoes,Mullaitivu,583
3,2022,Potatoes,Batticaloa,608
3,2022,Potatoes,Ampara,771
3,2022,Potatoes,Trincomalee,747
3,2022,Potatoes,Kurunegala,666
3,2022,Potatoes,Puttalam,561
3,2022,Potatoes,Anuradhapura,426
3,2022,Potatoes,Polonnaruwa,699
3,2022,Potatoes,Badulla,424
3,2022,Potatoes,Monaragala,477
3,2022,Potatoes,Ratnapura,520
3,2022,Potatoes,Kegalle,484
3,2022,Beans,Colombo,666
3,2022,Beans,Gampaha,727
3,2022,Beans,Kalutara,423
3,2022,Beans,Kandy,760
3,2022,Beans,Matale,785
3,2022,Beans,Nuwara Eliya,434
3,2022,Beans,Galle,745
3,2022,Beans,Matara,633
3,2022,Beans,Hambantota,567
3,2022,Beans,Jaffna,460
3,2022,Beans,Kilinochchi,442
3,2022,Beans,Mannar,684
3,2022,Beans,Vavuniya,459
3,2022,Beans,Mullaitivu,762
3,2022,Beans,Batticaloa,630
3,2022,Beans,Ampara,448
3,2022,Beans,Trincomalee,626
3,2022,Beans,Kurunegala,647
3,2022,Beans,Puttalam,489
3,2022,Beans,Anuradhapura,765
3,2022,Beans,Polonnaruwa,597
3,2022,Beans,Badulla,664
3,2022,Beans,Monaragala,463
3,2022,Beans,Ratnapura,710
3,2022,Beans,Kegalle,704
3,2022,Turnips,Colombo,750
3,2022,Turnips,Gampaha,691
3,2022,Turnips,Kalutara,497
3,2022,Turnips,Kandy,620
3,2022,Turnips,Matale,707
3,2022,Turnips,Nuwara Eliya,646
3,2022,Turnips,Galle,581
3,2022,Turnips,Matara,409
3,2022,Turnips,Hambantota,539
3,2022,Turnips,Jaffna,481
3,2022,Turnips,Kilinochchi,610
3,2022,Turnips,Mannar,653
3,2022,Turnips,Vavuniya,722
3,2022,Turnips,Mullaitivu,771
3,2022,Turnips,Batticaloa,772
3,2022,Turnips,Ampara,579
3,2022,Turnips,Trincomalee,782
3,2022,Turnips,Kurunegala,780
3,2022,Turnips,Puttalam,755
3,2022,Turnips,Anuradhapura,674
3,2022,Turnips,Polonnaruwa,697
3,2022,Turnips,Badulla,568
3,2022,Turnips,Monaragala,766
3,2022,Turnips,Ratnapura,770
3,2022,Turnips,Kegalle,602
3,2022,Tomatoes,Colombo,604
3,2022,Tomatoes,Gampaha,565
3,2022,Tomatoes,Kalutara,429
3,2022,Tomatoes,Kandy,645
3,2022,Tomatoes,Matale,595
3,2022,Tomatoes,Nuwara Eliya,572
3,2022,Tomatoes,Galle,505
3,2022,Tomatoes,Matara,726
3,2022,Tomatoes,Hambantota,581
3,2022,Tomatoes,Jaffna,562
3,2022,Tomatoes,Kilinochchi,721
3,2022,Tomatoes,Mannar,488
3,2022,Tomatoes,Vavuniya,650
3,2022,Tomatoes,Mullaitivu,519
3,2022,Tomatoes,Batticaloa,650
3,2022,Tomatoes,Ampara,777
3,2022,Tomatoes,Trincomalee,544
3,2022,Tomatoes,Kurunegala,482
3,2022,Tomatoes,Puttalam,777
3,2022,Tomatoes,Anuradhapura,449
3,2022,Tomatoes,Polonnaruwa,634
3,2022,Tomatoes,Badulla,545
3,2022,Tomatoes,Monaragala,765
3,2022,Tomatoes,Ratnapura,669
3,2022,Tomatoes,Kegalle,535
4,2022,Carrots,Colombo,1368
4,2022,Carrots,Gampaha,1318
4,2022,Carrots,Kalutara,1610
4,2022,Carrots,Kandy,1542
4,2022,Carrots,Matale,1302
4,2022,Carrots,Nuwara Eliya,1146
4,2022,Carrots,Galle,1165
4,2022,Carrots,Matara,1094
4,2022,Carrots,Hambantota,1292
4,2022,Carrots,Jaffna,1060
4,2022,Carrots,Kilinochchi,1386
4,2022,Carrots,Mannar,1390
4,2022,Carrots,Vavuniya,1548
4,2022,Carrots,Mullaitivu,1580
4,2022,Carrots,Batticaloa,1032
4,2022,Carrots,Ampara,1311
4,2022,Carrots,Trincomalee,1406
4,2022,Carrots,Kurunegala,1204
4,2022,Carrots,Puttalam,1431
4,2022,Carrots,Anuradhapura,1420
4,2022,Carrots,Polonnaruwa,1022
4,2022,Carrots,Badulla,1178
4,2022,Carrots,Monaragala,1336
4,2022,Carrots,Ratnapura,1581
4,2022,Carrots,Kegalle,1339
4,2022,Potatoes,Colombo,1656
4,2022,Potatoes,Gampaha,1108
4,2022,Potatoes,Kalutara,1301
4,2022,Potatoes,Kandy,1065
4,2022,Potatoes,Matale,1266
4,2022,Potatoes,Nuwara Eliya,1087
4,2022,Potatoes,Galle,1479
4,2022,Potatoes,Matara,998
4,2022,Potatoes,Hambantota,1014
4,2022,Potatoes,Jaffna,992
4,2022,Potatoes,Kilinochchi,1317
4,2022,Potatoes,Mannar,1370
4,2022,Potatoes,Vavuniya,1613
4,2022,Potatoes,Mullaitivu,1446
4,2022,Potatoes,Batticaloa,1294
4,2022,Potatoes,Ampara,1453
4,2022,Potatoes,Trincomalee,1135
4,2022,Potatoes,Kurunegala,1250
4,2022,Potatoes,Puttalam,1570
4,2022,Potatoes,Anuradhapura,1130
4,2022,Potatoes,Polonnaruwa,1624
4,2022,Potatoes,Badulla,1716
4,2022,Potatoes,Monaragala,1187
4,2022,Potatoes,Ratnapura,1490
4,2022,Potatoes,Kegalle,1150
4,2022,Beans,Colombo,1081
4,2022,Beans,Gampaha,1389
4,2022,Beans,Kalutara,1084
4,2022,Beans,Kandy,1245
4,2022,Beans,Matale,1240
4,2022,Beans,Nuwara Eliya,1266
4,2022,Beans,Galle,1551
4,2022,Beans,Matara,1175
4,2022,Beans,Hambantota,1138
4,2022,Beans,Jaffna,1119
4,2022,Beans,Kilinochchi,1637
4,2022,Beans,Mannar,1662
4,2022,Beans,Vavuniya,1479
4,2022,Beans,Mullaitivu,1172
4,2022,Beans,Batticaloa,1212
4,2022,Beans,Ampara,1336
4,2022,Beans,Trincomalee,1690
4,2022,Beans,Kurunegala,1537
4,2022,Beans,Puttalam,1257
4,2022,Beans,Anuradhapura,935
4,2022,Beans,Polonnaruwa,1266
4,2022,Beans,Badulla,1548
4,2022,Beans,Monaragala,1463
4,2022,Beans,Ratnapura,1102
4,2022,Beans,Kegalle,1403
4,2022,Turnips,Colombo,1422
4,2022,Turnips,Gampaha,1128
4,2022,Turnips,Kalutara,1780
4,2022,Turnips,Kandy,1285
4,2022,Turnips,Matale,1741
4,2022,Turnips,Nuwara Eliya,1634
4,2022,Turnips,Galle,1480
4,2022,Turnips,Matara,1408
4,2022,Turnips,Hambantota,1251
